"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20230225000949I","25-FEB-23","ENGLEWOOD","CO","CENTENNIAL","","","","","","","","","","","","0","0","","","","","","","","",""
"20230225001609A","25-FEB-23","","ME","","","","","","","","","","","","","0","1","","","","","","1757","","",""
"20230225001929I","25-FEB-23","ANCHORAGE","AK","MERRILL FIELD","","","","","","","","","","","","0","0","","","","","","1470","930","5",""
"20230225003049I","25-FEB-23","SEBRING","FL","SEBRING RGNL","","","","","","","","","","","","0","0","","","","","","6200","402","20",""
"20230225003469I","25-FEB-23","PULLMAN","WA","PULLMAN/MOSCOW RGNL","","","","","","","","","","","","0","0","","","","","","2160","","",""
"20230225003509I","25-FEB-23","APOPKA","FL","ORLANDO APOPKA","","","","","","","","","","","","0","0","","","","","","1380","118","286",""
"20230225004529A","25-FEB-23","PRINCETON","MN","PRINCETON MUNI","","","","","","","","","","","","0","0","","","","","","107","107","17",""
"20230225009129I","25-FEB-23","COLUMBUS","MS","COLUMBUS-LOWNDES COUNTY","","","","","","","","","","","","0","0","","","","","","229","141","1",""
"20230226001599A","26-FEB-23","ERIE","CO","ERIE MUNICIPAL","","","","","","","","","","","","0","0","","","","","","850","20","13",""
"20230227001909A","27-FEB-23","HILLSVILLE","VA","","","","","","","","","","","","","1","0","","","","","","","","",""
"20230227001919I","27-FEB-23","BRYAN","TX","COULTER FIELD","","","","","","","","","","","","0","0","","","","","","217","141","17",""
"20230228001199I","28-FEB-23","MIRAMAR","FL","","","","","","","","","","","","","0","0","","","","","","","","",""
"20230228001819I","28-FEB-23","MIAMI","FL","OPA-LOCKA EXECUTIVE","","","","","","","","","","","","0","0","","","","","","","","",""
"20230228001899A","28-FEB-23","LABELLE","FL","LA BELLE MUNI","","","","","","","","","","","","0","0","","","","","","633","","",""
"20230228002129I","28-FEB-23","SAINT AUGUSTINE","FL","NORTHEAST FLORIDA RGNL","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","1529","","",""
"20230228003459A","28-FEB-23","TRENTON","SC","","","","","","","","","","","","","0","2","","","","","","65","","",""
"20230228004359I","28-FEB-23","LEWISTON","ID","LEWISTON-NEZ PERCE COUNTY","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","1592","162","57",""
"20230228004519I","28-FEB-23","AUSTIN","MN","AUSTIN MUNI","","","","","","","","","","","","0","0","","","","","","456","280","150",""
"20230228006249I","28-FEB-23","LEESBURG","VA","LEESBURG EXECUTIVE","","","","","","","","","","","","0","0","","","","","","702","","",""
"20230301004569I","01-MAR-23","MOUNT PLEASANT","SC","MT PLEASANT RGNL-FAISON FIELD","","","","","","","","","","","","0","0","","","","","","65","60","20",""
"20230301005279A","01-MAR-23","HILLSBORO","TX","HILLSBORO MUNI","","","","","","","","","","","","0","0","","","","","","","","",""
"20230301005359I","01-MAR-23","SAINT LOUIS","MO","CREVE COEUR","","","","","","","","","","","","0","0","","","","","","1059","","",""
"20230301022539I","01-MAR-23","SPRING","TX","DAVID WAYNE HOOKS MEMORIAL","","","","","","","","","","","","0","0","","","","","","20400","","",""
"20230302001369I","02-MAR-23","HILLSBORO","OR","PORTLAND-HILLSBORO","","","","","","","","","","","","0","0","","","","","","1606","229","20",""
"20230302001889A","02-MAR-23","ORLAND","CA","HAIGH FIELD","","","","","","","","","AGRICULTURAL","","","0","1","","","","","","19550","35","",""
"20230302002559A","02-MAR-23","MADISONVILLE","KY","MADISONVILLE MUNI","","","","","","","","","","","","0","0","","","","","","1700","","",""
"20230302002569I","02-MAR-23","","CO","USAF ACADEMY AFLD","","","","","","","","","","","","0","0","","","","","","9535","21","78",""
"20230302004419I","02-MAR-23","WHEELING","WV","WHEELING OHIO CO","","","","","","","","","","","","0","0","","","","","","19500","200","20",""
"20230303001509I","03-MAR-23","BETHEL","AK","BETHEL","","","","","","","","","","","","0","0","","","","","","2000","","",""
"20230303001879A","03-MAR-23","WINDSOR LOCKS","CT","BRADLEY INTL","","","","","","","","","","","","1","1","","","","","","4700","86","50",""
"20230303003019A","03-MAR-23","VERNALIS","CA","","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","17000","16000","50",""
