id,icao24,callsign,estDepartureAirport,estArrivalAirport,firstSeen,lastSeen,flight_duration_minutes,total_distance_km,airport_pair,firstSeen_time,lastSeen_time
36632,a76959,N577KP  ,,K5C1,1741177610,1741180678,51.13333333333333,0.309,,2025-03-05 12:26:50,2025-03-05 13:17:58
36543,4b447d,HBZYJ   ,LFLJ,LSPU,1741178503,1741180463,32.666666666666664,175.938,LFLJ-LSPU,2025-03-05 12:41:43,2025-03-05 13:14:23
36541,4b3cfb,HBXCL   ,,LFLJ,1741178075,1741180389,38.56666666666667,105.438,,2025-03-05 12:34:35,2025-03-05 13:13:09
36519,43c8e2,SYS50   ,EGOE,EGOS,1741179308,1741180366,17.633333333333333,0.836,EGOE-EGOS,2025-03-05 12:55:08,2025-03-05 13:12:46
36518,425aa5,VQCAB   ,LPBJ,,1741177840,1741180321,41.35,1.114,,2025-03-05 12:30:40,2025-03-05 13:12:01
36505,3e1211,DHYAR   ,EDKB,EDKB,1741178310,1741179907,26.616666666666667,0.43,EDKB-EDKB,2025-03-05 12:38:30,2025-03-05 13:05:07
36609,8621ea,JAL566  ,,RJTT,1741175324,1741179716,73.2,1.363,,2025-03-05 11:48:44,2025-03-05 13:01:56
36487,320045,DRAG147 ,LIDT,LSZS,1741178899,1741179668,12.816666666666666,121.614,LIDT-LSZS,2025-03-05 12:48:19,2025-03-05 13:01:08
36480,06a100,QTR816  ,,VMMC,1741157244,1741179555,371.85,12.053,,2025-03-05 06:47:24,2025-03-05 12:59:15
36567,510080,BRU939  ,,XUBS,1741063542,1741179531,1933.15,14.685,,2025-03-04 04:45:42,2025-03-05 12:58:51
36597,80156a,IGO1106 ,VGTJ,VEBA,1741177652,1741179343,28.183333333333334,21.448,VGTJ-VEBA,2025-03-05 12:27:32,2025-03-05 12:55:43
36542,4b443c,HBZVW   ,LSZE,LSZE,1741178524,1741179141,10.283333333333333,19.725,LSZE-LSZE,2025-03-05 12:42:04,2025-03-05 12:52:21
36628,a3bc3d,N34PC   ,KYIP,KCAK,1741176855,1741179072,36.95,1.328,KYIP-KCAK,2025-03-05 12:14:15,2025-03-05 12:51:12
36545,4b7f67,V618    ,LSML,LSML,1741178591,1741178905,5.233333333333333,28.044,LSML-LSML,2025-03-05 12:43:11,2025-03-05 12:48:25
36568,68327b,FJK1264 ,LTBU,UWWG,1741163475,1741178855,256.3333333333333,32.135,LTBU-UWWG,2025-03-05 08:31:15,2025-03-05 12:47:35
36502,3d2a42,DEOGG   ,EDFM,LSZR,1741175826,1741178709,48.05,0.493,EDFM-LSZR,2025-03-05 11:57:06,2025-03-05 12:45:09
36584,7809ac,CQH8863 ,,ZSAM,1741176673,1741178553,31.333333333333332,0.746,,2025-03-05 12:11:13,2025-03-05 12:42:33
36529,478099,WIF8L   ,,ENVA,1741176064,1741178552,41.46666666666667,0.445,,2025-03-05 12:01:04,2025-03-05 12:42:32
36523,4601f6,FIN5PA  ,EFHK,EELM,1741176880,1741178477,26.616666666666667,26.291,EFHK-EELM,2025-03-05 12:14:40,2025-03-05 12:41:17
36503,3dd796,PBW13   ,EDSB,EDTY,1741175383,1741178463,51.333333333333336,4.21,EDSB-EDTY,2025-03-05 11:49:43,2025-03-05 12:41:03
36551,4ca27f,EIN266  ,EIDW,EGBB,1741175885,1741178365,41.333333333333336,4.466,EIDW-EGBB,2025-03-05 11:58:05,2025-03-05 12:39:25
36544,4b449a,MARTIN4 ,LOKL,LOKL,1741177956,1741178299,5.716666666666667,35.666,LOKL-LOKL,2025-03-05 12:32:36,2025-03-05 12:38:19
36520,43c92a,WWIND213,EGOQ,EGCK,1741176293,1741177911,26.966666666666665,6.852,EGOQ-EGCK,2025-03-05 12:04:53,2025-03-05 12:31:51
36540,4acac6,SWE21V  ,ESNU,,1741176460,1741177784,22.066666666666666,12.721,,2025-03-05 12:07:40,2025-03-05 12:29:44
36561,4d224d,RYR403H ,EIDW,EGNM,1741175546,1741177771,37.083333333333336,2.132,EIDW-EGNM,2025-03-05 11:52:26,2025-03-05 12:29:31
36537,497cdc,GOLDN61 ,LPPT,LPMA,1741172164,1741177541,89.61666666666666,1.127,LPPT-LPMA,2025-03-05 10:56:04,2025-03-05 12:25:41
36617,880c43,AIQ3350 ,VTBD,,1741175421,1741177461,34.0,1.496,,2025-03-05 11:50:21,2025-03-05 12:24:21
36522,45ac37,SAS1042 ,ESSA,,1741172609,1741177320,78.51666666666667,2.435,,2025-03-05 11:03:29,2025-03-05 12:22:00
36504,3ddc77,CHX85   ,EDAQ,EDCH,1741176207,1741177303,18.266666666666666,5.808,EDAQ-EDCH,2025-03-05 12:03:27,2025-03-05 12:21:43
36530,478d83,WIF4RT  ,ENVA,ENKB,1741175642,1741177289,27.45,21.736,ENVA-ENKB,2025-03-05 11:54:02,2025-03-05 12:21:29
36598,8015ca,IGO74WM ,VABB,VISP,1741171318,1741177266,99.13333333333334,27.469,VABB-VISP,2025-03-05 10:41:58,2025-03-05 12:21:06
36626,a2ec0c,JANET33 ,KLAS,NV11,1741176535,1741177265,12.166666666666666,36.102,KLAS-NV11,2025-03-05 12:08:55,2025-03-05 12:21:05
